Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
26c2d7bd-78ee-30d5-b5b7-f64188efcee3,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,37.628139,-122.106341,5107826200,1.5100775188709307E8,1063775
20338d05-752e-3601-9bfb-4c37df74145c,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,40.793304,-124.15535,7074458121,5.4924601380349234E7,388552
5f0980a6-cff6-3a46-9566-9cecf6d241e7,MILLS-PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,37.589952,-122.363342,6506965270,8.661322668969283E7,609144
aa7ee58b-89d9-3dd0-80d4-6defdf3e5d2c,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVE,SAN FRANCISCO,CA,94117,37.727239,-123.032229,4156006000,5173474.51999938,36244
74e3d5ba-9869-36de-bb5a-743031759c40,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,38.297872,-122.300741,7072524411,1.0089162081912936E8,711811
6bed751d-772e-3fb2-9265-be9eb22ea12f,ST HELENA HOSPITAL,10 WOODLAND ROAD,SAINT HELENA,CA,94574,38.036605,-122.253956,7079633611,9.200573873947951E7,649384
b8b56fe9-8046-35c0-bdb6-da533f1c331f,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,95642,38.348454,-120.772366,2092237500,1.9686803830000095E7,139821
038f17af-c488-31d7-a09d-f908b3680d30,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,38.566592,-121.468632,9164534453,6.1570023270415574E7,435358
17539c3a-6494-36c4-a39f-c2d0f0052547,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,LOS ANGELES,CA,90012,34.019394,-118.410825,2136248411,9623153.829987876,68464
63bdf216-7306-3f5c-abf1-ff21a53bad30,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,33.938143,-117.393168,9517883000,1.050728486189798E8,742663
8da4b26f-9f34-3540-bb61-345286bc82f3,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,32.665862,-117.097361,6194704321,2.3155081825375795E8,1631989
23e9ce6e-0c86-3292-957b-8e33bfcaebd9,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,32.8153,-117.134993,6195436222,6.924710055039212E7,488033
589502e3-db49-31f2-a69e-b1d5813a447e,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,32.769495,-117.021923,6194650711,3.795121720400388E8,2681765
8af06194-f642-360c-9065-339983ea5080,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,40.735612,-123.865671,7078223621,3890432.070001606,27504
1959ed2b-125f-3367-b17f-35c0a9fb1d3c,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,39.50301500000001,-121.566473,5305338500,3.449078302015196E7,244062
b231243c-673a-3e12-a767-f97cee784620,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,35.321213,-119.018291,6613271792,4.4644509980251335E7,317089
ffc11f4f-6a10-3f93-a3a0-23e03efffc52,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,37.296867,-121.819306,4088855000,1.1179361661867908E8,786846
0ec62ab3-0f56-3610-bec9-173dff179f60,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,39.769492,-121.92933700000002,5303327300,1.0052282450913462E8,708213
bf72fa6b-ee6e-3596-a88c-ae9ce9a29573,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,34.019394,-118.410825,8183641555,1.0934928729984613E7,77377
