Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,966960277.93,437088988.46,3606063000.00,2558891,0,2578076,0,1261488,0,638106,0,61862,0.46441027487953185,8998872
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,13911013133.32,2084995673.44,19109533500.00,27611518,0,29984507,0,16098331,0,6860926,0,537114,0.7772379554603072,79614900
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,10131779817.15,4554857648.00,49361854250.00,68205337,0,15160225,0,124842815,0,17720126,0,1396385,0.7658285901734044,212273100
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,2881279450.03,2671072880.00,381428243500.00,38191219,5899013,0,15034385,38288775,2039993,21741087,571089,860822,0.9179503154709472,226276824
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,6718812235.71,3664090957.51,387771039000.00,42892319,0,15017354,0,39065178,0,21438542,0,833314,0.916869634116323,217277796
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,2988112170.13,2161351500.00,395119428600.00,35408704,5490021,0,14034194,35423636,1910522,20216801,532773,813972,0.9188695742844881,209758068
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,3072714405.13,1961556805.00,407421756000.00,34611992,5351776,0,13791369,34624105,1861127,19772301,524314,798962,0.9190937202489573,205499232
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,3170777995.19,1778229720.00,420329097300.00,34021138,5237542,0,13468599,34038865,1829999,19461254,514276,788874,0.9193087114670841,201914448
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,1798262024.86,707815955.00,433800408800.00,17182822,21414165,0,13300834,7898394,27354562,19161285,528141,779643,0.9194096983993123,198927912
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,35605596365.73,0.00,0,35402768,0,15249482,0,29511603,0,13855868,351220,1.099628905048315,135483108
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,682824386.80,430479533.62,3774438000.00,2565006,0,2624025,0,1232768,0,665220,0,64136,0.4428910460438,9612948
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,7774139038.53,1534754333.00,13909853500.00,20510938,0,22235515,0,12002440,0,4987094,0,384255,0.7767971157442078,58025664
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,6160736646.70,3796662066.79,44478099000.00,56643798,0,13686096,0,96659096,0,15947982,0,1044969,0.7441234718128379,193792776
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,1132639712.34,1795020678.01,253873168600.00,25472897,4030917,0,10185396,26037451,1375351,14039009,389539,569137,0.9164874791899926,150615252
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,3057950598.37,2411895093.44,254845143000.00,28222565,0,10002024,0,26076443,0,13691162,0,546837,0.9158865766540409,142818048
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,1236702921.89,1425810214.00,258417983500.00,23156250,3643589,0,9323479,23599729,1251996,12822195,356291,531393,0.9181042005804577,137209368
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,1310351411.53,1295221655.00,266013368000.00,22659083,3556038,0,9133626,23034553,1229515,12548346,347660,520969,0.9182870623361493,134193792
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,1383345661.24,1172362380.00,273606475800.00,22223564,3485091,0,9002986,22633647,1202821,12298998,342046,512804,0.9183932057179148,131466360
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,813568350.36,464314400.00,281573294200.00,11080340,14098116,0,8793108,5101025,18239881,12088742,346766,505505,0.9187383387391356,129145824
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,20078268093.18,0.00,0,28234549,0,12312098,0,24171711,0,10749321,255999,1.1921887218649037,103200648
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,548681856.12,288024471.94,2312107500.00,1670727,0,1730061,0,816716,0,405574,0,39433,0.44272720914544583,5897892
